TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,VISIT_AREA_ID,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
c_c000450,녹테마레,전라남도,여수시,6.0,5.0,4.0,5.0,60.0,0,2208160003.0,c000450,1,남,50,4,3,1,2,7,4,6,3,5,9.0,2,1
c_c000450,오동도,전라남도,여수시,7.0,5.0,5.0,5.0,90.0,1,2208170004.0,c000450,1,남,50,4,3,1,2,7,4,6,3,5,9.0,2,1
c_c000450,여수해상케이블카,전라남도,여수시,6.0,5.0,5.0,5.0,60.0,0,2208170001.0,c000450,1,남,50,4,3,1,2,7,4,6,3,5,9.0,2,1
c_c000450,테디베어뮤지엄 여수,전라남도,여수시,3.0,4.0,4.0,4.0,60.0,0,2208160004.0,c000450,1,남,50,4,3,1,2,7,4,6,3,5,9.0,2,1
c_c000450,고소동벽화마을,전라남도,여수시,7.0,4.0,4.0,5.0,30.0,0,2208170002.0,c000450,1,남,50,4,3,1,2,7,4,6,3,5,9.0,2,1
c_c000450,여수예술랜드,전라남도,여수시,6.0,5.0,5.0,5.0,120.0,0,2208180002.0,c000450,1,남,50,4,3,1,2,7,4,6,3,5,9.0,2,1
c_c002781,부안누에타운,전라북도,부안군,13.0,5.0,5.0,5.0,60.0,1,2210030002.0,c002781,2,남,30,4,1,1,1,7,5,4,3,4,2.0,15,2
c_c004552,은행나무길,충청남도,아산시,1.0,5.0,5.0,5.0,90.0,0,2210040001.0,c004552,22,남,20,3,1,1,1,4,4,3,3,7,7.0,6,0
c_c004552,온빛자연휴양림,충청남도,논산시,1.0,5.0,5.0,5.0,150.0,0,2210030003.0,c004552,22,남,20,3,1,1,1,4,4,3,3,7,7.0,6,0
c_c004072,임실치즈테마파크,전라북도,임실군,6.0,4.0,4.0,4.0,90.0,0,2210010003.0,c004072,2,남,20,4,2,1,1,6,5,4,1,6,3.0,2,1
c_c002591,선운산,전라북도,고창군,2.0,4.0,4.0,5.0,60.0,1,2209170004.0,c002591,2,여,30,5,2,5,2,5,5,2,2,2,2.0,1,2
c_c002099,유월드루지테마파크,전라남도,여수시,6.0,5.0,5.0,5.0,120.0,0,2210090001.0,c002099,7,남,30,4,1,1,1,1,4,2,6,6,2.0,4,0
c_c005379,지중해마을,충청남도,아산시,7.0,4.0,3.0,3.0,120.0,0,2210180004.0,c005379,22,남,30,3,2,1,1,3,4,7,7,7,3.0,2,1
c_c005379,외암민속마을,충청남도,아산시,7.0,3.0,3.0,3.0,60.0,0,2210180006.0,c005379,22,남,30,3,2,1,1,3,4,7,7,7,3.0,2,1
c_c005379,지중해마을,충청남도,아산시,7.0,4.0,3.0,3.0,90.0,1,2210180007.0,c005379,22,남,30,3,2,1,1,3,4,7,7,7,3.0,2,1
c_c005696,전주한옥마을,전라북도,전주시,7.0,4.0,4.0,4.0,30.0,1,2210220006.0,c005696,1,여,20,4,3,1,3,3,3,6,6,6,1.0,1,0
c_c003330,순천만습지,전라남도,순천시,1.0,5.0,4.0,4.0,60.0,1,2210100002.0,c003330,4,남,30,4,2,3,3,5,5,3,5,5,1.0,1,1
c_c003330,여수해상케이블카,전라남도,여수시,6.0,4.0,4.0,4.0,90.0,0,2210100003.0,c003330,4,남,30,4,2,3,3,5,5,3,5,5,1.0,1,1
c_c003330,오동도,전라남도,여수시,7.0,4.0,4.0,4.0,60.0,0,2210110004.0,c003330,4,남,30,4,2,3,3,5,5,3,5,5,1.0,1,1
c_c003330,아르떼뮤지엄 여수,전라남도,여수시,3.0,5.0,5.0,5.0,120.0,0,2210110001.0,c003330,4,남,30,4,2,3,3,5,5,3,5,5,1.0,1,1
c_c003638,전주한옥마을,전라북도,전주시,7.0,5.0,5.0,5.0,90.0,1,2210010002.0,c003638,1,여,20,4,4,3,6,4,5,6,6,3,2.0,1,0
c_c003253,만리포해수욕장,충청남도,태안군,1.0,5.0,5.0,5.0,30.0,1,2210090002.0,c003253,8,여,20,5,1,1,1,1,7,4,1,7,1.0,2,1
c_c003253,만리포해수욕장,충청남도,태안군,1.0,5.0,5.0,5.0,30.0,0,2210080007.0,c003253,8,여,20,5,1,1,1,1,7,4,1,7,1.0,2,1
c_c001152,수원메쎄,경기도,수원시,3.0,5.0,5.0,5.0,150.0,0,2209040002.0,c001152,8,여,30,7,1,3,1,4,2,2,4,7,2.0,3,1
c_c011842,담양관방제림,전라남도,담양군,7.0,5.0,5.0,5.0,30.0,0,2210290004.0,c011842,2,여,20,2,2,1,1,1,1,5,7,1,2.0,5,0
c_c011842,죽녹원,전라남도,담양군,2.0,5.0,3.0,4.0,90.0,0,2210290003.0,c011842,2,여,20,2,2,1,1,1,1,5,7,1,2.0,5,0
c_c008783,의림지,충청북도,제천시,1.0,4.0,3.0,3.0,90.0,0,2210230003.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c008783,만천하스카이워크,충청북도,단양군,6.0,5.0,4.0,5.0,90.0,0,2210220006.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c008783,단양강잔도,충청북도,단양군,7.0,4.0,4.0,5.0,60.0,0,2210220007.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c008783,온달관광지,충청북도,단양군,6.0,5.0,3.0,3.0,90.0,0,2210220003.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c008783,고운골남한강갈대숲,충청북도,단양군,1.0,5.0,2.0,2.0,30.0,0,2210220005.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c008783,구인사,충청북도,단양군,2.0,5.0,5.0,5.0,60.0,0,2210220002.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c008783,청풍문화재단지,충청북도,제천시,2.0,4.0,3.0,3.0,60.0,0,2210230001.0,c008783,12,여,40,5,2,2,2,6,6,3,2,5,9.0,2,3
c_c009017,한밭수목원,대전광역시,서구,1.0,4.0,3.0,4.0,60.0,0,2211010003.0,c009017,1,여,30,4,2,7,2,3,2,1,7,1,3.0,10,1
c_c009017,이응노미술관,대전광역시,서구,3.0,4.0,4.0,5.0,60.0,0,2211010004.0,c009017,1,여,30,4,2,7,2,3,2,1,7,1,3.0,10,1
c_c008659,단양다누리센터 아쿠아리움,충청북도,단양군,6.0,5.0,5.0,5.0,120.0,1,2211060002.0,c008659,6,여,40,3,7,1,1,3,7,7,1,7,1.0,1,3
c_c010917,독립기념관,충청남도,천안시,2.0,5.0,5.0,5.0,150.0,1,2210300003.0,c010917,3,여,40,5,2,4,1,1,4,1,3,4,8.0,2,2
c_c004555,웅천친수공원,전라남도,여수시,1.0,5.0,5.0,5.0,30.0,0,2210010002.0,c004555,1,남,20,1,2,1,7,1,5,1,1,7,2.0,1,0
c_c004555,이충무공선소유적,전라남도,여수시,2.0,5.0,5.0,5.0,30.0,0,2210010004.0,c004555,1,남,20,1,2,1,7,1,5,1,1,7,2.0,1,0
c_c008693,국립부여박물관,충청남도,부여군,2.0,4.0,4.0,4.0,120.0,0,2210270003.0,c008693,6,여,40,1,4,5,2,4,6,2,6,2,8.0,4,1
c_c008693,궁남지,충청남도,부여군,2.0,5.0,5.0,5.0,60.0,0,2210270004.0,c008693,6,여,40,1,4,5,2,4,6,2,6,2,8.0,4,1
c_c008693,백제문화단지,충청남도,부여군,2.0,4.0,4.0,4.0,150.0,0,2210270005.0,c008693,6,여,40,1,4,5,2,4,6,2,6,2,8.0,4,1
c_c004401,아쿠아플라넷 여수,전라남도,여수시,6.0,5.0,5.0,5.0,180.0,0,2210050003.0,c004401,6,남,40,5,2,2,1,6,6,1,6,6,2.0,4,2
c_c004401,하멜등대,전라남도,여수시,7.0,5.0,5.0,5.0,60.0,0,2210050005.0,c004401,6,남,40,5,2,2,1,6,6,1,6,6,2.0,4,2
c_c004401,만성리검은모래해변,전라남도,여수시,1.0,5.0,5.0,5.0,90.0,0,2210060003.0,c004401,6,남,40,5,2,2,1,6,6,1,6,6,2.0,4,2
c_c000743,몽산포해수욕장,충청남도,태안군,1.0,4.0,4.0,4.0,150.0,1,2208310004.0,c000743,22,여,30,4,2,1,1,5,5,2,2,4,3.0,2,1
c_c000743,대천해수욕장,충청남도,보령시,1.0,5.0,5.0,5.0,90.0,1,2208310006.0,c000743,22,여,30,4,2,1,1,5,5,2,2,4,3.0,2,1
c_c003108,유월드루지테마파크,전라남도,여수시,6.0,4.0,4.0,4.0,150.0,0,2210030002.0,c003108,2,남,40,1,2,2,3,5,3,6,3,6,3.0,1,2
c_c003108,순천만국가정원 꿈의다리,전라남도,순천시,1.0,5.0,5.0,5.0,30.0,0,2210020004.0,c003108,2,남,40,1,2,2,3,5,3,6,3,6,3.0,1,2
c_c001363,무주반디랜드,전라북도,무주군,6.0,4.0,4.0,4.0,120.0,0,2208200004.0,c001363,2,여,30,1,1,1,1,1,4,7,1,7,3.0,1,6
c_c008953,대청댐전망대,충청북도,청주시,1.0,4.0,4.0,4.0,30.0,0,2211060007.0,c008953,4,여,20,5,5,1,1,6,7,1,7,4,7.0,1,0
c_c013785,한밭수목원,대전광역시,서구,1.0,5.0,5.0,5.0,30.0,0,2211050005.0,c013785,22,여,40,6,4,1,2,1,2,2,2,7,1.0,2,0
c_c003734,만성리검은모래해변,전라남도,여수시,1.0,5.0,5.0,5.0,30.0,0,2210020004.0,c003734,8,남,20,4,2,1,1,4,3,2,3,3,2.0,2,3
c_c011677,현충사,충청남도,아산시,2.0,5.0,5.0,5.0,30.0,1,2211020003.0,c011677,3,남,60,8,2,2,2,3,3,4,2,3,1.0,4,1
c_c009687,자만벽화마을,전라북도,전주시,7.0,4.0,4.0,4.0,30.0,0,2210290004.0,c009687,2,남,30,4,6,1,2,2,6,6,5,1,9.0,7,2
c_c009687,전주동물원,전라북도,전주시,6.0,4.0,4.0,4.0,90.0,1,2210290005.0,c009687,2,남,30,4,6,1,2,2,6,6,5,1,9.0,7,2
