TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
a_a003399,1,여,20,2,4,2,3,2,3,2,5,4,3.0,2,1,['경기도+수원시']
a_a007418,21,남,30,8,2,1,4,3,2,4,6,6,3.0,2,1,['경기도+의왕시']
a_a003949,2,여,40,1,2,4,4,3,3,3,2,5,2.0,2,1,['경기도+광주시']
a_a007928,3,남,40,10,2,2,3,4,2,3,2,4,8.0,10,3,['경기도+여주시']
a_a006632,2,남,20,4,7,7,1,1,1,4,4,7,2.0,1,1,['경기도+의왕시']
a_a011091,4,남,30,5,4,1,2,2,3,6,5,5,3.0,5,3,['인천광역시+남동구']
a_a009760,23,남,20,5,3,1,1,3,4,2,1,6,1.0,2,1,['서울특별시+중구']
a_a014619,3,남,20,4,4,2,4,4,4,6,4,2,3.0,1,1,"['서울특별시+송파구', '서울특별시+중구']"
a_a000789,4,여,20,2,4,1,4,1,1,2,7,3,2.0,3,0,['서울특별시+종로구']
a_a003435,24,여,40,4,1,2,4,2,2,3,4,3,6.0,3,0,['경기도+고양시']
a_a002167,3,여,50,4,1,1,2,4,2,2,1,2,4.0,3,1,['서울특별시+종로구']
a_a017689,6,여,20,3,2,1,3,6,6,4,4,4,7.0,1,1,['경기도+고양시']
a_a001573,3,여,30,6,3,2,3,4,2,2,5,7,8.0,2,1,['경기도+수원시']
a_a006989,2,여,20,1,2,1,6,2,2,6,6,6,3.0,3,1,['인천광역시+중구']
a_a002011,3,여,30,7,3,3,3,5,5,6,6,3,7.0,5,1,['서울특별시+종로구']
a_a001271,23,여,40,8,7,1,7,1,1,7,7,1,2.0,1,1,['서울특별시+강남구']
a_a004788,21,남,30,6,3,3,2,4,4,2,4,5,3.0,1,1,['서울특별시+성동구']
a_a003803,1,남,30,5,1,1,1,1,1,1,7,2,3.0,2,1,['경기도+고양시']
a_a015340,2,여,40,1,4,6,6,2,6,6,2,6,1.0,1,3,['경기도+과천시']
a_a017661,2,여,20,4,3,3,1,4,5,7,7,7,5.0,5,1,['경기도+용인시']
a_a007655,6,여,40,2,3,3,3,5,3,3,3,5,8.0,2,0,['경기도+안양시']
a_a005619,2,여,30,9,4,3,4,3,6,4,4,7,4.0,1,0,['경기도+과천시']
a_a003510,3,여,30,4,2,2,2,4,4,2,2,4,1.0,2,1,['경기도+수원시']
a_a008721,3,여,40,4,1,6,2,1,3,6,2,2,7.0,8,0,['경기도+수원시']
a_a006965,2,남,30,3,1,4,1,4,3,3,2,3,3.0,3,1,['경기도+가평군']
a_a002008,1,여,20,2,2,3,2,3,4,4,6,5,3.0,1,5,['서울특별시+영등포구']
a_a006808,2,남,20,4,6,2,6,4,3,6,5,5,2.0,2,0,['경기도+용인시']
a_a003546,21,여,20,2,4,2,2,5,6,4,2,6,1.0,3,1,['경기도+안산시']
a_a009439,27,남,40,12,1,2,1,2,2,6,2,2,1.0,6,1,['경기도+광주시']
a_a014688,2,남,20,1,7,1,1,1,7,1,7,1,1.0,7,0,['인천광역시+중구']
a_a001627,24,여,30,4,1,1,4,1,1,4,3,7,5.0,5,0,['서울특별시+중구']
a_a006054,24,남,20,3,5,1,2,4,5,4,2,3,7.0,6,1,['경기도+남양주시']
a_a000221,21,여,30,1,6,7,4,5,3,4,5,4,2.0,2,0,['경기도+양평군']
a_a003242,2,남,20,1,4,2,1,3,6,6,1,7,3.0,1,1,['서울특별시+종로구']
a_a001308,12,남,30,1,2,2,1,4,4,2,1,6,7.0,1,1,['경기도+수원시']
a_a006280,22,여,60,4,5,3,2,1,3,1,3,7,7.0,1,0,['인천광역시+연수구']
