SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,VISIT_AREA_ID,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
충청북도,감곡매괴 성모순교성지,음성군,2.0,2210230002.0,30.0,3.0,0.0,1.0,4.0
전라남도,곡성섬진강기차마을,곡성군,7.0,2210100003.0,60.0,5.0,0.3333333333333333,2.333333333333333,4.333333333333333
충청남도,백제문화제,부여군,2.0,2210080005.0,60.0,4.0,0.0,1.0,3.0
전라북도,군산시간여행축제,군산시,8.0,2210080005.0,30.0,5.0,0.0,0.0,4.0
제주도,아르떼뮤지엄 제주,제주시,3.0,2211040004.0,80.0,4.266666666666667,0.1,1.4333333333333331,3.7
제주도,송악산,서귀포시,1.0,2211040005.0,68.33333333333333,4.666666666666667,0.3333333333333333,1.2222222222222223,4.5
제주도,비자림,제주시,1.0,2211060001.0,73.75,4.333333333333333,0.2916666666666667,1.7916666666666667,4.0625
전라북도,익산 천만송이국화축제,익산시,8.0,2210300003.0,60.0,5.0,0.0,0.5,5.0
대전광역시,수변문화원,유성구,3.0,2210070011.0,30.0,4.0,0.0,0.0,4.0
전라북도,야미도,군산시,1.0,2210080004.0,30.0,4.5,0.0,0.0,3.5
대전광역시,디아트스페이스193,유성구,3.0,2210100007.0,60.0,3.5,0.0,0.5,3.5
전라북도,도시재생숲,군산시,1.0,2210100008.0,30.0,3.0,0.0,0.0,3.0
전라남도,장성 황룡강노란꽃잔치,장성군,8.0,2210090003.0,120.0,4.0,0.0,1.0,4.0
전라남도,설록다원강진,강진군,1.0,2210090004.0,30.0,2.0,0.0,1.0,1.0
전라북도,선운산 수리봉,고창군,1.0,2210080005.0,30.0,4.0,0.0,3.0,4.0
전라북도,선운산생태숲,고창군,1.0,2210080006.0,30.0,4.5,0.0,2.5,4.5
전라북도,덕유산,무주군,1.0,2210230002.0,150.0,4.5,0.0,7.0,4.5
전라북도,선운산,고창군,7.0,2210220003.0,60.0,3.5,1.0,7.0,4.0
전라북도,고창성당,고창군,2.0,2210230001.0,90.0,4.0,0.0,11.0,4.0
